 Name:, Ksenia, Burova, CS420 ,,,,,,,,,,,,,,,,
 Number of experiments:,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 Experiment #,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 1,,,,,,,,,,,,,,,,,,,
J1=1.0,J2=0.0,H=-1,R1=1,R2=15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
4,0.201391358,0.883478771,0.41066914,,,,,,,,,,,,,,,,
5,0.28811358,0.824565648,0.469582262,,,,,,,,,,,,,,,,
6,0.284817284,0.826710049,0.467437862,,,,,,,,,,,,,,,,
7,0.139129453,0.918585252,0.375562658,,,,,,,,,,,,,,,,
8,0.033539198,0.989768228,0.304379683,,,,,,,,,,,,,,,,
9,0.206602469,1.025037426,0.269110485,,,,,,,,,,,,,,,,
10,0.320275309,1.024914269,0.269233642,,,,,,,,,,,,,,,,
11,0.241462177,1.02753681,0.2666111,,,,,,,,,,,,,,,,
12,0.102080864,1.008037657,0.286110254,,,,,,,,,,,,,,,,
13,0.067267426,0.952848433,0.341299478,,,,,,,,,,,,,,,,
14,0.213692945,0.875227189,0.418920722,,,,,,,,,,,,,,,,
Entropy(H):,0.647073955,Lambda:,4.25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 13,,,,,,,,,,,,,,,,,,,
J1=0.0,J2=-0.1,H=0,R1=4,R2=7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0.602180247,1.054108357,0.332144028,,,,,,,,,,,,,,,,
2,0.38551358,1.096833519,0.289418866,,,,,,,,,,,,,,,,
3,0.067365432,1.060768694,0.325483691,,,,,,,,,,,,,,,,
4,0.201014198,0.949649441,0.436602944,,,,,,,,,,,,,,,,
5,0.474041975,0.756462812,0.629789573,,,,,,,,,,,,,,,,
6,0.336153086,0.865548882,0.520703503,,,,,,,,,,,,,,,,
7,0.185994356,0.957731016,0.428521369,,,,,,,,,,,,,,,,
8,0.040374691,1.052815801,0.333436584,,,,,,,,,,,,,,,,
9,0.239958025,1.093435727,0.292816658,,,,,,,,,,,,,,,,
10,0.446569136,1.087022268,0.299230117,,,,,,,,,,,,,,,,
11,0.307180247,1.097941831,0.288310554,,,,,,,,,,,,,,,,
12,0.149448765,1.080121452,0.306130933,,,,,,,,,,,,,,,,
13,0.060768471,1.016640925,0.36961146,,,,,,,,,,,,,,,,
14,0.247541975,0.922089915,0.46416247,,,,,,,,,,,,,,,,
Entropy(H):,0.693126193,Lambda:,8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 14,,,,,,,,,,,,,,,,,,,
J1=0.0,J2=-0.1,H=0,R1=4,R2=12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0.73331358,0.993390628,0.39288398,,,,,,,,,,,,,,,,
2,0.591369136,1.057834339,0.328440269,,,,,,,,,,,,,,,,
3,0.377758025,1.097473856,0.288800752,,,,,,,,,,,,,,,,
4,0.191369136,1.087606069,0.298668539,,,,,,,,,,,,,,,,
5,0.013353086,1.034990878,0.35128373,,,,,,,,,,,,,,,,
6,0.208630864,0.945476654,0.440797954,,,,,,,,,,,,,,,,
7,0.409543563,0.811385395,0.574889213,,,,,,,,,,,,,,,,
8,0.457589198,0.772419445,0.613855163,,,,,,,,,,,,,,,,
9,0.362982716,0.846496916,0.539777692,,,,,,,,,,,,,,,,
10,0.24468642,0.924662638,0.46161197,,,,,,,,,,,,,,,,
11,0.115171268,0.993145307,0.393129301,,,,,,,,,,,,,,,,
12,0.03081358,1.049912089,0.336362519,,,,,,,,,,,,,,,,
13,0.179467426,1.085714094,0.300560514,,,,,,,,,,,,,,,,
14,0.341845326,1.098556318,0.28771829,,,,,,,,,,,,,,,,
