Project 4, CS420,
 Artificial, Neural Nets,
Completed by:, Ksenia Burova,
,,
Epoch #, RMSE,
80800,0.006161621,
80900,0.00615802,
81000,0.006154432,
81100,0.006150857,
81200,0.006147296,
81300,0.006143748,
81400,0.006140213,
81500,0.006136692,
81600,0.006133184,
81700,0.006129688,
81800,0.006126206,
81900,0.006122737,
82000,0.006119281,
82100,0.006115838,
82200,0.006112407,
82300,0.006108989,
82400,0.006105584,
82500,0.006102191,
82600,0.006098811,
82700,0.006095443,
82800,0.006092087,
82900,0.006088744,
83000,0.006085413,
83100,0.006082094,
83200,0.006078787,
83300,0.006075492,
83400,0.006072209,
83500,0.006068938,
83600,0.006065679,
83700,0.006062431,
83800,0.006059195,
83900,0.00605597,
84000,0.006052757,
84100,0.006049555,
84200,0.006046365,
84300,0.006043185,
84400,0.006040017,
84500,0.00603686,
84600,0.006033714,
84700,0.006030579,
84800,0.006027455,
84900,0.006024341,
85000,0.006021238,
85100,0.006018146,
85200,0.006015064,
85300,0.006011993,
85400,0.006008932,
85500,0.006005881,
85600,0.006002841,
85700,0.005999811,
85800,0.00599679,
85900,0.00599378,
86000,0.00599078,
86100,0.00598779,
86200,0.005984809,
86300,0.005981838,
86400,0.005978877,
86500,0.005975926,
86600,0.005972983,
86700,0.005970051,
86800,0.005967127,
86900,0.005964213,
87000,0.005961308,
87100,0.005958413,
87200,0.005955526,
87300,0.005952648,
87400,0.00594978,
87500,0.00594692,
87600,0.005944069,
87700,0.005941227,
87800,0.005938393,
87900,0.005935568,
88000,0.005932751,
88100,0.005929943,
88200,0.005927144,
88300,0.005924353,
88400,0.00592157,
88500,0.005918795,
88600,0.005916028,
88700,0.00591327,
88800,0.005910519,
88900,0.005907777,
89000,0.005905042,
89100,0.005902316,
89200,0.005899597,
89300,0.005896886,
89400,0.005894182,
89500,0.005891486,
89600,0.005888798,
89700,0.005886118,
89800,0.005883444,
89900,0.005880779,
90000,0.00587812,
90100,0.005875469,
90200,0.005872825,
90300,0.005870189,
90400,0.00586756,
90500,0.005864937,
90600,0.005862322,
90700,0.005859714,
90800,0.005857113,
90900,0.005854519,
91000,0.005851931,
91100,0.005849351,
91200,0.005846777,
91300,0.005844211,
91400,0.00584165,
91500,0.005839097,
91600,0.00583655,
91700,0.00583401,
91800,0.005831476,
91900,0.005828949,
92000,0.005826429,
92100,0.005823914,
92200,0.005821407,
92300,0.005818905,
92400,0.00581641,
92500,0.005813922,
92600,0.005811439,
92700,0.005808963,
92800,0.005806493,
92900,0.005804029,
93000,0.005801572,
93100,0.00579912,
93200,0.005796674,
93300,0.005794235,
93400,0.005791802,
93500,0.005789374,
93600,0.005786953,
93700,0.005784537,
93800,0.005782128,
93900,0.005779724,
94000,0.005777326,
94100,0.005774934,
94200,0.005772548,
94300,0.005770168,
94400,0.005767793,
94500,0.005765424,
94600,0.005763061,
94700,0.005760703,
94800,0.005758351,
94900,0.005756005,
95000,0.005753665,
95100,0.00575133,
95200,0.005749,
95300,0.005746676,
95400,0.005744358,
95500,0.005742045,
95600,0.005739738,
95700,0.005737436,
95800,0.00573514,
95900,0.005732849,
96000,0.005730563,
96100,0.005728283,
96200,0.005726009,
96300,0.00572374,
96400,0.005721476,
96500,0.005719217,
96600,0.005716964,
96700,0.005714716,
96800,0.005712473,
96900,0.005710236,
97000,0.005708004,
97100,0.005705777,
97200,0.005703556,
97300,0.005701339,
97400,0.005699128,
97500,0.005696922,
97600,0.005694721,
97700,0.005692526,
97800,0.005690336,
97900,0.00568815,
98000,0.00568597,
98100,0.005683795,
