Run # 0,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,
0,0.09058311,0.776758,10,,
1,0.385936321,0.904179629,13,,
2,0.554621661,0.940478855,9,,
3,0.526861394,0.951145501,12,,
4,0.498930093,0.951145501,13,,
5,0.500055152,0.939676,10,,
6,0.559942674,0.939901459,13,,
7,0.724195538,0.940190117,13,,
8,0.704587306,0.958610702,14,,
9,0.68039001,0.961552597,12,,
10,0.625904147,0.987199731,11,,
11,0.737802565,0.987039487,12,,
12,0.788277908,0.987359999,12,,
13,0.633193933,0.996429471,11,,
14,0.756204273,0.996429471,16,,
15,0.742803902,0.996429471,12,,
16,0.749525588,0.997038028,14,,
17,0.778479391,0.996467496,15,,
18,0.715498468,0.995251343,13,,
19,0.759816702,0.995251343,16,,
20,0.682402144,0.999771142,15,,
21,0.689726317,0.999694866,16,,
22,0.754241793,0.999694866,13,,
23,0.646904466,0.999694866,14,,
24,0.652263245,0.999694866,11,,
25,0.714558748,0.975404709,13,,
26,0.66179425,0.975404709,15,,
27,0.717947961,0.955063672,12,,
28,0.752122788,0.992576718,11,,
29,0.64445899,0.992008484,12,,
30,0.640399834,0.975404709,14,,
31,0.715656347,0.994416013,14,,
32,0.663495343,0.997218758,12,,
33,0.784287582,0.994482437,11,,
34,0.69702058,0.997161682,10,,
35,0.726841494,0.997161682,11,,
36,0.790548682,0.999304036,18,,
37,0.640764466,0.999904637,17,,
38,0.786800287,0.995555256,14,,
39,0.622785005,0.995555256,14,,
Run # 9,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,
0,0.073028019,0.711288134,11,,
1,0.579038197,0.904144789,11,,
2,0.54043215,0.968229381,9,,
3,0.644169681,0.968164538,12,,
4,0.623987652,0.968896568,10,,
5,0.610225122,0.984431749,12,,
6,0.629304004,0.977691836,8,,
7,0.642201115,0.982505828,6,,
8,0.684412335,0.995137397,14,,
9,0.726738571,0.99696194,13,,
10,0.709533968,0.996410459,13,,
11,0.757687315,0.987265721,10,,
12,0.789981719,0.99696194,13,,
13,0.716054233,0.987737191,10,,
14,0.713713354,0.997323405,13,,
15,0.829133074,0.997437576,12,,
16,0.736311812,0.989984167,10,,
17,0.748274634,0.9997044,15,,
18,0.709869714,0.999856958,14,,
19,0.695027034,0.999856958,14,,
20,0.770633736,0.991516252,15,,
21,0.698996601,0.996648133,11,,
22,0.662013527,0.999218262,12,,
23,0.663943744,0.999218262,14,,
24,0.733890783,0.999713935,15,,
25,0.714162162,0.999713935,13,,
26,0.730111804,0.999713935,11,,
27,0.620663558,0.986474107,13,,
28,0.724886153,0.997342432,16,,
29,0.646322469,0.997342432,16,,
30,0.59777434,0.99736146,11,,
31,0.663579875,0.997380489,16,,
32,0.747768269,0.999589996,14,,
33,0.67271897,0.999780677,14,,
34,0.768944768,0.999771142,14,,
35,0.833966719,0.999771142,12,,
36,0.754371531,0.999723469,16,,
37,0.740656798,0.999723469,16,,
38,0.723562184,0.999723469,11,,
39,0.667070061,0.99748515,13,,
